method,n_samples,time
kDN,100,0.0009881655375162761
DDN,100,0.03245878219604492
kDN,1000,0.008099714914957682
DDN,1000,0.19798866907755533
kDN,5000,0.1405198574066162
DDN,5000,1.6725645065307617
kDN,10000,0.32727861404418945
DDN,10000,4.865519444147746
