method,n_samples,time
kDN,100,0.0019969940185546875
DDN,100,0.046450138092041016
kDN,1000,0.028490543365478516
DDN,1000,0.23374740282694498
kDN,5000,0.13466389973958334
DDN,5000,2.189896901448568
kDN,10000,0.3632720311482747
DDN,10000,6.818996906280518
