method,n_samples,time
kDN,100,0.005315144856770833
DDN,100,0.03266445795694987
kDN,1000,0.01161344846089681
DDN,1000,0.26233482360839844
kDN,5000,0.1529862880706787
DDN,5000,2.8055744965871177
kDN,10000,0.4126573403676351
DDN,10000,9.056847174962362
