method,n_samples,time
kDN,100,0.007089853286743164
DDN,100,0.0348044236501058
kDN,1000,0.006690820058186849
DDN,1000,0.1775960922241211
kDN,5000,0.0905768871307373
DDN,5000,1.1685365835825603
kDN,10000,0.232470432917277
DDN,10000,2.897262175877889
